"PC Name","No","Type","State","Winning Candidate","Party","Electors","Votes","Turnout","Margin","Margin %"
Muzaffarnagar,3,GEN,Uttar Pradesh [2000 Onwards],(DR.) SANJEEV KUMAR BALYAN,Bharatiya Janta Party,1588483,1107434,69.7 %,401150,36.2%
Muzaffarpur,15,GEN,Bihar [2000 Onwards],Ajay Nishad,Bharatiya Janta Party,1551363,948887,61.2 %,222422,23.4%
Mysore,21,GEN,Karnataka,Prathap Simha,Bharatiya Janta Party,1723134,1159594,67.3 %,31608,2.7%
Nabarangpur,12,ST,Orissa,Balabhadra Majhi,Biju Janata Dal,1297210,1022172,78.8 %,2042,0.2%
Nagaland,1,ST,Nagaland,Neiphiu Rio,Naga Peoples Front,1182948,1038910,87.8 %,400225,38.5%
Nagapattinam,29,SC,Tamil Nadu,Gopal. Dr. K,All India Anna Dravida Munnetra Kazhagam,1210626,942202,77.8 %,106079,11.3%
Nagarkurnool,12,SC,Telangana,Yellaiah Nandi,Indian National Congress,1477338,1108968,75.1 %,16676,1.5%
Nagaur,14,GEN,Rajasthan,C R Choudhary,Bharatiya Janta Party,1678662,1004019,59.8 %,75218,7.5%
Nagina,5,SC,Uttar Pradesh [2000 Onwards],Yashwant Singh,Bharatiya Janta Party,1493411,942196,63.1 %,92390,9.8%
Nagpur,10,GEN,Maharashtra,Gadkari Nitin Jairam,Bharatiya Janta Party,1900787,1085058,57.1 %,284828,26.3%
Nainital-Udhamsingh Nagar,4,GEN,Uttarakhand,Bhagat Singh Koshyari,Bharatiya Janta Party,1610810,1101435,68.4 %,284717,25.8%
Nalanda,29,GEN,Bihar [2000 Onwards],Kaushlendra Kumar,Janata Dal (United),1951967,921761,47.2 %,9627,1.0%
Nalgonda,13,GEN,Telangana,Gutha Sukhender Reddy,Indian National Congress,1495580,1189399,79.5 %,193156,16.2%
Namakkal,16,GEN,Tamil Nadu,Sundaram P.R,All India Anna Dravida Munnetra Kazhagam,1329552,1058755,79.6 %,294374,27.8%
Nanded,16,GEN,Maharashtra,Ashok Shankarrao Chavan,Indian National Congress,1687057,1013350,60.1 %,81455,8.0%
Nandurbar,1,ST,Maharashtra,Dr.Gavit Heena Vaijaykumar,Bharatiya Janta Party,1672715,1116676,66.8 %,106905,9.6%
Nandyal,34,GEN,Andhra Pradesh [2014 Onwards],S.P.Y Reddy,Yuvajana Sramika Rythu Congress Party,1577128,1204956,76.4 %,105766,8.8%
Narasaraopet,31,GEN,Andhra Pradesh [2014 Onwards],Sambasiva Rao Rayapati,Telugu Desam,1514861,1282058,84.6 %,35280,2.8%
Narsapuram,26,GEN,Andhra Pradesh [2014 Onwards],Gokaraju Ganga Raju,Bharatiya Janta Party,1325143,1088951,82.2 %,85351,7.8%
Nashik,21,GEN,Maharashtra,Godse Hemant Tukaram,Shiv Sena,1593237,937405,58.8 %,187336,20.0%
Navsari,25,GEN,Gujarat,C. R. Patil,Bharatiya Janta Party,1764622,1160747,65.8 %,558116,48.1%
Nawada,39,GEN,Bihar [2000 Onwards],Giriraj Singh,Bharatiya Janta Party,1675789,884441,52.8 %,140157,15.8%
Nellore,39,GEN,Andhra Pradesh [2014 Onwards],Mekapati Rajamohan Reddy,Yuvajana Sramika Rythu Congress Party,1606140,1187648,73.9 %,13478,1.1%
New Delhi,4,GEN,Delhi [1977 Onwards],Meenakashi Lekhi,Bharatiya Janta Party,1490147,969812,65.1 %,162708,16.8%
Nilgiris,19,SC,Tamil Nadu,Gopalakrishnan C.,All India Anna Dravida Munnetra Kazhagam,1269163,933076,73.5 %,104940,11.2%
Nizamabad,4,GEN,Telangana,Kalvakuntla Kavitha,Telangana Rashtra Samithi,1496193,1033924,69.1 %,167184,16.2%
North East Delhi,2,GEN,Delhi [1977 Onwards],Manoj Tiwari,Bharatiya Janta Party,1957707,1317338,67.3 %,144084,10.9%
North Goa,1,GEN,Goa,Shripad Yesso Naik,Bharatiya Janta Party,515441,406631,78.9 %,105599,26.0%
North West Delhi,5,SC,Delhi [1977 Onwards],Udit Raj,Bharatiya Janta Party,2194425,1356036,61.8 %,106802,7.9%
Nowgong,10,GEN,Assam,Rajen Gohain,Bharatiya Janta Party,1523881,1230074,80.7 %,143559,11.7%
Ongole,33,GEN,Andhra Pradesh [2014 Onwards],Y.V.Subba Reddy,Yuvajana Sramika Rythu Congress Party,1470483,1208225,82.2 %,15658,1.3%
Osmanabad,40,GEN,Maharashtra,Gaikwad Ravindra Vishwanath,Shiv Sena,1726793,1118151,64.8 %,234325,21.0%
Outer Manipur,2,ST,Manipur,Thangso Baite,Indian National Congress,918966,771766,84.0 %,15637,2.0%
Palakkad,8,GEN,Kerala,M B Rajesh,Communist Party Of India (MARXIST),1208758,910322,75.3 %,105300,11.6%
Palamau,13,SC,Jharkhand,Vishnu Dayal Ram,Bharatiya Janta Party,1645957,977323,59.4 %,263942,27.0%
Palghar,22,ST,Maharashtra,Adv. Chintaman Navasha Wanga,Bharatiya Janta Party,1578077,992618,62.9 %,239520,24.1%
Pali,15,GEN,Rajasthan,P P Choudhary,Bharatiya Janta Party,1893030,1095587,57.9 %,399039,36.4%
Panchmahal,18,GEN,Gujarat,Chauhan Prabhatsinh Pratapsinh,Bharatiya Janta Party,1576667,933461,59.2 %,170596,18.3%
Parbhani,17,GEN,Maharashtra,Jadhav Sanjay (BANDU) HARIBHAU,Shiv Sena,1803792,1162233,64.4 %,127155,10.9%
Paschim Champaran,2,GEN,Bihar [2000 Onwards],Dr. Sanjay Jaiswal,Bharatiya Janta Party,1413073,854800,60.5 %,110254,12.9%
Pataliputra,31,GEN,Bihar [2000 Onwards],Ram Kripal Yadav,Bharatiya Janta Party,1736074,978649,56.4 %,40322,4.1%
Patan,3,GEN,Gujarat,Liladharbhai Khodaji Vaghela,Bharatiya Janta Party,1628641,955799,58.7 %,138719,14.5%
Pathanamthitta,17,GEN,Kerala,Anto Antony,Indian National Congress,1323906,869452,65.7 %,56191,6.5%
Patiala,13,GEN,Punjab,Dr. Dharam Vira Gandhi,Aam Aadmi Party,1580273,1120933,70.9 %,20942,1.9%
Patna Sahib,30,GEN,Bihar [2000 Onwards],Shatrughana Sinha,Bharatiya Janta Party,1946249,882262,45.3 %,265805,30.1%
Peddapalli,2,SC,Telangana,Balka Suman,Telangana Rashtra Samithi,1425361,1022184,71.7 %,291158,28.5%
Perambalur,25,GEN,Tamil Nadu,Marutharajaa R.P.,All India Anna Dravida Munnetra Kazhagam,1285434,1030826,80.2 %,213048,20.7%
Phulpur,51,GEN,Uttar Pradesh [2000 Onwards],Keshav Prasad Maurya,Bharatiya Janta Party,1913274,960341,50.2 %,308308,32.1%
Pilibhit,26,GEN,Uttar Pradesh [2000 Onwards],Maneka Sanjay Gandhi,Bharatiya Janta Party,1671151,1050547,62.9 %,307052,29.2%
Pollachi,21,GEN,Tamil Nadu,Mahendran.C,All India Anna Dravida Munnetra Kazhagam,1381505,1012667,73.3 %,140974,13.9%
Pondicherry,1,GEN,Pondicherry,R. Radhakrishnan,All India N.R. Congress,901357,740017,82.1 %,60854,8.2%
Ponnani,7,GEN,Kerala,E. T. Mohammed Basheer,Indian Union Muslim League,1180789,871592,73.8 %,25410,2.9%
Porbandar,11,GEN,Gujarat,Radadiya Vithalbhai Hansrajbhai,Bharatiya Janta Party,1539223,809433,52.6 %,267971,33.1%
Pratapgarh,39,GEN,Uttar Pradesh [2000 Onwards],Kuwar Harivansh Singh,Apna Dal,1716625,894456,52.1 %,168222,18.8%
Pune,34,GEN,Maharashtra,Anil Shirole,Bharatiya Janta Party,1835836,993274,54.1 %,315769,31.8%
Puri,17,GEN,Orissa,Pinaki Misra,Biju Janata Dal,1404581,1039389,74.0 %,263361,25.3%
Purnia,12,GEN,Bihar [2000 Onwards],Santosh Kumar,Janata Dal (United),1582967,1017732,64.3 %,116669,11.5%
Purulia,35,GEN,West Bengal,Dr. Mriganka Mahato,All India Trinamool Congress,1471933,1204675,81.8 %,153877,12.8%
Purvi Champaran,3,GEN,Bihar [2000 Onwards],Radha Mohan Singh,Bharatiya Janta Party,1452963,822671,56.6 %,192163,23.4%
Rae Bareli,36,GEN,Uttar Pradesh [2000 Onwards],Sonia Gandhi,Indian National Congress,1594954,825136,51.7 %,352713,42.7%
Raichur,6,ST,Karnataka,B.V.Nayak,Indian National Congress,1661606,968889,58.3 %,1499,0.2%
Raigad,32,GEN,Maharashtra,Anant Geete,Shiv Sena,1532781,987766,64.4 %,2110,0.2%
Raiganj,5,GEN,West Bengal,Md. Salim,Communist Party Of India (MARXIST),1387526,1108193,79.9 %,1634,0.1%
Raigarh,2,ST,Chhattisgarh,Vishnu Deo Sai,Bharatiya Janta Party,1605824,1246186,77.6 %,216750,17.4%
Raipur,8,GEN,Chhattisgarh,Ramesh Bais,Bharatiya Janta Party,1904230,1250845,65.7 %,171646,13.7%
Rajahmundry,25,GEN,Andhra Pradesh [2014 Onwards],Murali Mohan Maganti,Telugu Desam,1421288,1154381,81.2 %,167434,14.5%
Rajampet,41,GEN,Andhra Pradesh [2014 Onwards],P.V.Midhun Reddy,Yuvajana Sramika Rythu Congress Party,1487498,1158317,77.9 %,174762,15.1%
Rajgarh,20,GEN,Madhya Pradesh [2000 Onwards],Rodmal Nagar,Bharatiya Janta Party,1578748,1010724,64.0 %,228737,22.6%
Rajkot,10,GEN,Gujarat,Kundariya Mohanbhai Kalyanjibhai,Bharatiya Janta Party,1655717,1057069,63.8 %,246428,23.3%
Rajmahal,1,ST,Jharkhand,Vijay Kumar Hansdak,Jharkhand Mukti Morcha,1353172,951563,70.3 %,41337,4.3%
Rajnandgaon,6,GEN,Chhattisgarh,Abhishek Singh,Bharatiya Janta Party,1588095,1178296,74.2 %,235911,20.0%
Rajsamand,22,GEN,Rajasthan,Hariom Singh Rathore,Bharatiya Janta Party,1699401,982119,57.8 %,395705,40.3%
Ramanathapuram,35,GEN,Tamil Nadu,Anwhar Raajhaa.A,All India Anna Dravida Munnetra Kazhagam,1455891,1001048,68.8 %,119324,11.9%
Rampur,7,GEN,Uttar Pradesh [2000 Onwards],Dr. Nepal Singh,Bharatiya Janta Party,1616984,956389,59.2 %,23435,2.5%
Ramtek,9,SC,Maharashtra,Krupal Balaji Tumane,Shiv Sena,1677245,1050316,62.6 %,175791,16.7%
Ranaghat,13,SC,West Bengal,Tapas Mandal,All India Trinamool Congress,1602849,1353196,84.4 %,201767,14.9%
Ranchi,8,GEN,Jharkhand,Ram Tahal Choudhary,Bharatiya Janta Party,1648464,1049783,63.7 %,199303,19.0%
Ratlam,24,ST,Madhya Pradesh [2000 Onwards],Dileepsingh Bhuria,Bharatiya Janta Party,1702648,1082681,63.6 %,108447,10.0%
Ratnagiri - Sindhudurg,46,GEN,Maharashtra,Vinayak Bhaurao Raut,Shiv Sena,1367361,896256,65.6 %,150051,16.7%
Raver,4,GEN,Maharashtra,Khadase Raksha Nikhil,Bharatiya Janta Party,1593370,1009213,63.3 %,318068,31.5%
Rewa,10,GEN,Madhya Pradesh [2000 Onwards],Janardan Mishra,Bharatiya Janta Party,1544719,830002,53.7 %,168726,20.3%
Robertsganj,80,SC,Uttar Pradesh [2000 Onwards],Chhotelal,Bharatiya Janta Party,1639561,885873,54.0 %,190486,21.5%
Rohtak,7,GEN,Haryana,Deepender Singh Hooda,Indian National Congress,1567504,1044331,66.6 %,170627,16.3%
Sabarkantha,5,GEN,Gujarat,Rathod Dipsinh Shankarsinh,Bharatiya Janta Party,1615840,1094002,67.7 %,84455,7.7%
Sagar,5,GEN,Madhya Pradesh [2000 Onwards],Laxmi Narayan Yadav,Bharatiya Janta Party,1520184,891929,58.7 %,120737,13.5%
Saharanpur,1,GEN,Uttar Pradesh [2000 Onwards],Raghav Lakhanpal,Bharatiya Janta Party,1608833,1194308,74.2 %,65090,5.5%
Salem,15,GEN,Tamil Nadu,Pannerselvam.V,All India Anna Dravida Munnetra Kazhagam,1498350,1150296,76.8 %,267610,23.3%
Salempur,71,GEN,Uttar Pradesh [2000 Onwards],Ravindra Kushawaha,Bharatiya Janta Party,1661737,854749,51.4 %,232342,27.2%
Samastipur,23,SC,Bihar [2000 Onwards],Ram Chandra Paswan,Lok Jan Shakti Party,1503005,863199,57.4 %,6872,0.8%
Sambalpur,3,GEN,Orissa,Nagendra Kumar Pradhan,Biju Janata Dal,1297098,984309,75.9 %,30576,3.1%
Sambhal,8,GEN,Uttar Pradesh [2000 Onwards],Satyapal Singh,Bharatiya Janta Party,1693245,1057002,62.4 %,5174,0.5%
Sangli,44,GEN,Maharashtra,Sanjaykaka Patil,Bharatiya Janta Party,1649107,1046659,63.5 %,239292,22.9%
Sangrur,12,GEN,Punjab,Bhagwant Mann,Aam Aadmi Party,1424743,1099467,77.2 %,211721,19.3%
Sant Kabir Nagar,62,GEN,Uttar Pradesh [2000 Onwards],Sharad Tripathi,Bharatiya Janta Party,1904327,1011649,53.1 %,97978,9.7%
Saran,20,GEN,Bihar [2000 Onwards],Rajiv Pratap Rudy,Bharatiya Janta Party,1538744,863254,56.1 %,40948,4.7%
Sarguja,1,ST,Chhattisgarh,Kamalbhan Singh Marabi,Bharatiya Janta Party,1523072,1187321,78.0 %,147236,12.4%
Sasaram,34,SC,Bihar [2000 Onwards],Chhedi Paswan,Bharatiya Janta Party,1607747,846788,52.7 %,63327,7.5%
Satara,45,GEN,Maharashtra,Shrimant Chh. Udayanraje Pratapsinha Bhonsale,Nationalist Congress Party,1719998,976681,56.8 %,366594,37.5%
Satna,9,GEN,Madhya Pradesh [2000 Onwards],Ganesh Singh,Bharatiya Janta Party,1458084,913444,62.7 %,8688,1.0%
Secundrabad,8,GEN,Telangana,Bandaru Dattatreya,Bharatiya Janta Party,1893647,1003769,53.0 %,254735,25.4%
Shahdol,12,ST,Madhya Pradesh [2000 Onwards],Dalpat Singh Paraste,Bharatiya Janta Party,1561321,968518,62.0 %,241301,24.9%
Shahjahanpur,27,SC,Uttar Pradesh [2000 Onwards],Krishna Raj,Bharatiya Janta Party,1979294,1129841,57.1 %,235529,20.8%
Sheohar,4,GEN,Bihar [2000 Onwards],Rama Devi,Bharatiya Janta Party,1489724,842894,56.6 %,136239,16.2%
Shillong,1,ST,Meghalaya,Vincent H. Pala,Indian National Congress,980740,619987,63.2 %,40379,6.5%
Shimla,4,SC,Himachal Pradesh,Virender Kashyap,Bharatiya Janta Party,1153363,737757,64.0 %,84187,11.4%
Shimoga,14,GEN,Karnataka,B. S. Yeddyurappa,Bharatiya Janta Party,1562241,1129008,72.3 %,363305,32.2%
Shirdi,38,SC,Maharashtra,Lokhande Sadashiv Kisan,Shiv Sena,1459712,932645,63.9 %,199922,21.4%
Shirur,36,GEN,Maharashtra,Adhalrao Shivaji Dattatrey,Shiv Sena,1824112,1089506,59.7 %,301814,27.7%
Shrawasti,58,GEN,Uttar Pradesh [2000 Onwards],Daddan Mishra,Bharatiya Janta Party,1788080,979638,54.8 %,85913,8.8%
Sidhi,11,GEN,Madhya Pradesh [2000 Onwards],Riti Pathak,Bharatiya Janta Party,1736050,989396,57.0 %,108046,10.9%
Sikar,5,GEN,Rajasthan,Sumedhanand Saraswati,Bharatiya Janta Party,1770424,1065750,60.2 %,239196,22.4%
Sikkim,1,GEN,Sikkim,Prem Das Rai,Sikkim Democratic Front,370611,308967,83.4 %,41742,13.5%
Silchar,2,GEN,Assam,Sushmita Dev,Indian National Congress,1060175,799830,75.4 %,35241,4.4%
Singhbhum,10,ST,Jharkhand,Laxman Giluwa,Bharatiya Janta Party,1152570,795286,69.0 %,87524,11.0%
Sirsa,3,SC,Haryana,Charanjeet Singh Rori,Indian National Lok Dal,1660557,1279105,77.0 %,115736,9.0%
Sitamarhi,5,GEN,Bihar [2000 Onwards],Ram Kumar Sharma,Rashtriya Lok Samta Party,1574914,900588,57.2 %,147965,16.4%
Sitapur,30,GEN,Uttar Pradesh [2000 Onwards],Rajesh Verma,Bharatiya Janta Party,1550263,1026972,66.3 %,51027,5.0%
Sivaganga,31,GEN,Tamil Nadu,Senthilnathan Pr,All India Anna Dravida Munnetra Kazhagam,1412373,1027036,72.7 %,229385,22.3%
Siwan,18,GEN,Bihar [2000 Onwards],Om Prakash Yadav,Bharatiya Janta Party,1563860,884021,56.5 %,113847,12.9%
Solapur,42,SC,Maharashtra,Sharad Bansode,Bharatiya Janta Party,1702755,951201,55.9 %,149674,15.7%
Sonipat,6,GEN,Haryana,Ramesh Chander,Bharatiya Janta Party,1417188,985637,69.6 %,77414,7.9%
South Delhi,7,GEN,Delhi [1977 Onwards],Ramesh Bidhuri,Bharatiya Janta Party,1752741,1102410,62.9 %,107000,9.7%
South Goa,2,GEN,Goa,Adv. Narendra Keshav Sawaikar,Bharatiya Janta Party,545336,410369,75.3 %,32330,7.9%
Srerampur,27,GEN,West Bengal,Kalyan Banerjee,All India Trinamool Congress,1624038,1290433,79.5 %,152526,11.8%
Srikakulam,19,GEN,Andhra Pradesh [2014 Onwards],Rammohan Naidu Kinjarapu,Telugu Desam,1413989,1051446,74.4 %,127572,12.1%
Srinagar,2,GEN,Jammu & Kashmir,Tariq Hameed Karra,Jammu & Kashmir Peoples Democratic Party,1205233,312212,25.9 %,42280,13.5%
Sriperumbudur,5,GEN,Tamil Nadu,Ramachandran K.N. Thiru,All India Anna Dravida Munnetra Kazhagam,1946503,1286647,66.1 %,102646,8.0%
Sultanpur,38,GEN,Uttar Pradesh [2000 Onwards],Feroze Varun Gandhi,Bharatiya Janta Party,1703698,964981,56.6 %,178902,18.5%
Sundargarh,2,ST,Orissa,Jual @ Juel Oram,Bharatiya Janta Party,1410532,1010711,71.7 %,18829,1.9%
Supaul,8,GEN,Bihar [2000 Onwards],Ranjeet Ranjan,Indian National Congress,1525592,970528,63.6 %,59672,6.1%
Surat,24,GEN,Gujarat,Darshana Vikram Jardosh,Bharatiya Janta Party,1484068,947922,63.9 %,533190,56.2%
Surendranagar,9,GEN,Gujarat,Fatepara Devajibhai Govindbhai,Bharatiya Janta Party,1656657,944677,57.0 %,202907,21.5%
Tamluk,30,GEN,West Bengal,Adhikari Suvendu,All India Trinamool Congress,1527273,1337684,87.6 %,246481,18.4%
Tehri Garhwal,1,GEN,Uttarakhand,Mala Rajya Laxmi Shah,Bharatiya Janta Party,1352845,776214,57.4 %,192503,24.8%
Tenkasi,37,SC,Tamil Nadu,Vasanthi.M,All India Anna Dravida Munnetra Kazhagam,1382081,1017938,73.7 %,161774,15.9%
Tezpur,9,GEN,Assam,Ram Prasad Sarmah,Bharatiya Janta Party,1259568,980688,77.9 %,86020,8.8%
Thane,25,GEN,Maharashtra,Vichare Rajan Baburao,Shiv Sena,2073442,1054189,50.8 %,281299,26.7%
Thanjavur,30,GEN,Tamil Nadu,Parasuraman.K,All India Anna Dravida Munnetra Kazhagam,1340050,1012258,75.5 %,144119,14.2%
Theni,33,GEN,Tamil Nadu,Parthipan R.,All India Anna Dravida Munnetra Kazhagam,1441302,1075583,74.6 %,314532,29.2%
Thiruvallur,1,SC,Tamil Nadu,Venugopal.P.(DR),All India Anna Dravida Munnetra Kazhagam,1702833,1254440,73.7 %,323430,25.8%
Thiruvananthapuram,20,GEN,Kerala,Dr. Shashi Tharoor,Indian National Congress,1272748,873439,68.6 %,15470,1.8%
Thoothukkudi,36,GEN,Tamil Nadu,Jeyasingh Thiyagaraj Natterjee.J,All India Anna Dravida Munnetra Kazhagam,1310597,916778,70.0 %,124002,13.5%
Thrissur,10,GEN,Kerala,C. N. Jayadevan,Communist Party Of India,1275288,920505,72.2 %,38227,4.2%
Tikamgarh,6,SC,Madhya Pradesh [2000 Onwards],Dr. Virendra Kumar,Bharatiya Janta Party,1529003,766321,50.1 %,208731,27.2%
Tiruchirappalli,24,GEN,Tamil Nadu,Kumar.P,All India Anna Dravida Munnetra Kazhagam,1387140,988250,71.2 %,150476,15.2%
Tirunelveli,38,GEN,Tamil Nadu,Prabakaran.K.R.P,All India Anna Dravida Munnetra Kazhagam,1420435,962330,67.8 %,126099,13.1%
Tirupati,40,SC,Andhra Pradesh [2014 Onwards],Varaprasad Rao Velagapalli,Yuvajana Sramika Rythu Congress Party,1574544,1213064,77.0 %,37425,3.1%
Tiruppur,18,GEN,Tamil Nadu,V.Sathyabama,All India Anna Dravida Munnetra Kazhagam,1375589,1050190,76.3 %,179315,17.1%
Tiruvannamalai,11,GEN,Tamil Nadu,Vanaroja R,All India Anna Dravida Munnetra Kazhagam,1352966,1067447,78.9 %,168606,15.8%
Tonk-Sawai Madhopur,12,GEN,Rajasthan,Sukhbir Singh Jaunapuria,Bharatiya Janta Party,1710775,1043040,61.0 %,135311,13.0%
Tripura East,2,ST,Tripura,Jitendra Choudhury,Communist Party Of India (MARXIST),1140269,951110,83.4 %,484358,50.9%
Tripura West,1,GEN,Tripura,Sankar Prasad Datta,Communist Party Of India (MARXIST),1248550,1072749,85.9 %,503486,46.9%
Tumkur,19,GEN,Karnataka,Muddahanumegowda.S.P.,Indian National Congress,1518518,1101484,72.5 %,74041,6.7%
Tura,2,ST,Meghalaya,Purno Agitok Sangma,National People's Party,586501,458071,78.1 %,39716,8.7%
Udaipur,19,ST,Rajasthan,Arjunlal Meena,Bharatiya Janta Party,1817940,1193202,65.6 %,236762,19.8%
Udhampur,5,GEN,Jammu & Kashmir,Dr. Jitendra Singh,Bharatiya Janta Party,1490244,1041758,69.9 %,60976,5.9%
Udupi Chikmagalur,15,GEN,Karnataka,Shobha Karandlaje,Bharatiya Janta Party,1387295,1034108,74.5 %,181643,17.6%
Ujiarpur,22,GEN,Bihar [2000 Onwards],Nityanand Rai,Bharatiya Janta Party,1428445,858920,60.1 %,60469,7.0%
Ujjain,22,SC,Madhya Pradesh [2000 Onwards],Prof. Chintamani Malviya,Bharatiya Janta Party,1525481,1016405,66.6 %,309663,30.5%
Uluberia,26,GEN,West Bengal,Sultan Ahmed,All India Trinamool Congress,1448632,1186027,81.9 %,201222,17.0%
Unnao,33,GEN,Uttar Pradesh [2000 Onwards],Swami Sachchidanand Hari Sakshi,Bharatiya Janta Party,2164392,1201603,55.5 %,310173,25.8%
Uttara Kannada,12,GEN,Karnataka,Anantkumar Hegde,Bharatiya Janta Party,1450599,1001038,69.0 %,140700,14.1%
Vadakara,3,GEN,Kerala,Mullappally Ramachandran,Indian National Congress,1182504,959342,81.1 %,3306,0.3%
Vadodara,20,GEN,Gujarat,Narendra Modi,Bharatiya Janta Party,1638321,1161577,70.9 %,570128,49.1%
Vaishali,16,GEN,Bihar [2000 Onwards],Rama Kishore Singh,Lok Jan Shakti Party,1587202,925937,58.3 %,99267,10.7%
Valmiki Nagar,1,GEN,Bihar [2000 Onwards],Satish Chandra Dubey,Bharatiya Janta Party,1456576,900114,61.8 %,117793,13.1%
Valsad,26,ST,Gujarat,Dr. K.C.Patel,Bharatiya Janta Party,1512061,1122203,74.2 %,208004,18.5%
Varanasi,77,GEN,Uttar Pradesh [2000 Onwards],Narendra Modi,Bharatiya Janta Party,1767486,1030685,58.3 %,371784,36.1%
Vellore,8,GEN,Tamil Nadu,Senguttuvan B.,All India Anna Dravida Munnetra Kazhagam,1312251,974770,74.3 %,59393,6.1%
Vidisha,18,GEN,Madhya Pradesh [2000 Onwards],Sushma Swaraj,Bharatiya Janta Party,1634370,1073473,65.7 %,410698,38.3%
Vijayawada,29,GEN,Andhra Pradesh [2014 Onwards],Kesineni Srinivas,Telugu Desam,1564513,1195075,76.4 %,74862,6.3%
Viluppuram,13,SC,Tamil Nadu,Rajendran S,All India Anna Dravida Munnetra Kazhagam,1387007,1067641,77.0 %,193367,18.1%
Virudhunagar,34,GEN,Tamil Nadu,Radhakrishnan T,All India Anna Dravida Munnetra Kazhagam,1350495,1010930,74.9 %,145551,14.4%
Visakhapatnam,21,GEN,Andhra Pradesh [2014 Onwards],Kambhampati Hari Babu,Bharatiya Janta Party,1723037,1163558,67.5 %,90488,7.8%
Vizianagaram,20,GEN,Andhra Pradesh [2014 Onwards],Ashok Gajapathi Raju Pusapati,Telugu Desam,1404127,1120316,79.8 %,106911,9.5%
Warangal,15,SC,Telangana,Kadiyam Srihari,Telangana Rashtra Samithi,1537781,1174631,76.4 %,392574,33.4%
Wardha,8,GEN,Maharashtra,Ramdas Chandrabhanji Tadas,Bharatiya Janta Party,1564553,1013445,64.8 %,215783,21.3%
Wayanad,4,GEN,Kerala,M I Shanavas,Indian National Congress,1249420,915006,73.2 %,20870,2.3%
West Delhi,6,GEN,Delhi [1977 Onwards],Parvesh Sahib Singh Verma,Bharatiya Janta Party,2039410,1347971,66.1 %,268586,19.9%
Yavatmal-Washim,14,GEN,Maharashtra,Gawali Bhavana Pundlikrao,Shiv Sena,1743498,1032949,59.3 %,93816,9.1%
Zahirabad,5,GEN,Telangana,B.B. Patil,Telangana Rashtra Samithi,1445246,1094806,75.8 %,144631,13.2%